STA	DIST	AmpRatio	dT
ONDH	15,507	0,17853	471,635
YMT	15,528	0,10308	471,975
FGTH	15,529	0,08367	472,79
ESP02	15,544	0,07726	473,005
TUCU	15,556	0,14732	473,39
TZWH	15,563	0,1397	471,965
TOCO	15,578	0,1816	473,225
CP16	15,595	0,16505	473,075
VABB	15,623	0,02614	472,295
LLAN	15,720	0,08604	473,465
TCKH	15,726	0,09399	472,175
MR3	15,730	0,14512	472,22
JOU	15,766	0,13196	471,28
GUAL	15,784	0,128	472,92
ESP03	15,819	0,10928	472,625
MAJA	15,819	0,21433	472,53
NKEH	15,871	0,04513	472,46
DOCA	15,891	0,10571	472,935
KMF	15,893	0,14719	471,425
JYA	15,895	0,05493	471,64
CP15	15,896	0,08356	472,97
AT2	15,934	0,06333	471,995
MONA	15,935	0,06794	473,02
NUEV	15,949	0,07855	472,64
NKWH	15,953	0,05213	471,915
ASAH	15,961	0,04092	471,445
SISH	16,081	0,09223	471,175
JYS	16,101	0,07102	471,385
CASP	16,113	0,09039	472,95
KMYH	16,120	0,04869	471,305
NYOH	16,149	0,05593	473,23
CONE	16,167	0,28857	471,165
JMM	16,175	0,15973	471,47
JAW	16,186	0,13524	471,24
AHIH	16,206	0,04	471,985
CHUC	16,228	0,13775	472,435
SECA	16,234	0,1229	472,025
THTH	16,265	0,08098	472,02
KTA	16,299	0,10359	470,535
ONIH	16,375	0,06254	471,01
FKSH	16,379	0,1271	471,47
YNZH	16,379	0,10763	470,42
ARKH	16,380	0,08451	471,06
KMAH	16,396	0,0605	470,89
CP20	16,438	0,31802	471,83
NOQE	16,454	0,11933	471,7
SASO	16,457	0,07982	472,205
MKJH	16,531	0,12589	470,945
SBT	16,545	0,07364	470,46
INWH	16,554	0,10885	470,975
BARR	16,565	0,08578	471,96
ZOND	16,571	0,06785	471,565
SROH	16,573	0,16632	471,21
MRUH	16,574	0,12689	471,415
ATKH	16,577	0,07228	471,605
SAD	16,588	0,06668	470,93
JFK	16,604	0,19234	471,195
NAZH	16,613	0,08471	471,14
ESP04	16,636	0,24439	471,385
NIKI	16,640	0,10114	471,98
